Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,@ornikar,jest-config-react-native,17.0.10,,2026-08-04T12:44:09.757Z,2026-08-04T12:49:01.910Z
npm,,native-frontend-orb,1.1.14,,2026-08-04T12:44:38.938Z,2026-08-04T12:49:01.607Z
npm,,frontend-orb,4.4.14,,2026-08-04T12:45:11.735Z,2026-08-04T12:49:01.572Z
npm,,native-frontend-orb,1.1.16,,2026-08-04T12:45:48.307Z,2026-08-04T12:49:01.537Z
npm,,pob-test-package-in-monorepo,5.2.16,,2026-08-04T12:46:29.397Z,2026-08-04T12:49:01.404Z
npm,,frontend-orb,4.4.13,,2026-08-04T12:44:38.945Z,2026-08-04T12:49:01.314Z
npm,@ornikar,eslint-plugin-ornikar,24.0.8,,2026-08-04T12:44:00.287Z,2026-08-04T12:49:01.312Z
npm,,frontend-orb,4.4.12,,2026-08-04T12:44:09.671Z,2026-08-04T12:49:01.311Z
npm,,babel-plugin-linaria-css-to-undefined,0.3.15,,2026-08-04T12:46:07.814Z,2026-08-04T12:49:01.046Z
npm,@ornikar,eslint-config-node,12.2.10,,2026-08-04T12:45:11.746Z,2026-08-04T12:49:00.959Z
npm,,babel-plugin-linaria-css-to-undefined,0.3.12,,2026-08-04T12:44:38.752Z,2026-08-04T12:49:00.894Z
npm,,pob-test-package-in-monorepo,5.2.13,,2026-08-04T12:45:11.799Z,2026-08-04T12:49:00.765Z
npm,,frontend-orb,4.4.16,,2026-08-04T12:46:04.352Z,2026-08-04T12:49:00.313Z
npm,@ornikar,eslint-config-node,12.2.7,,2026-08-04T12:44:00.144Z,2026-08-04T12:49:00.278Z
npm,,babel-plugin-linaria-css-to-undefined,0.3.11,,2026-08-04T12:44:09.703Z,2026-08-04T12:49:00.080Z
npm,@ornikar,rollup-plugin-postcss,2.0.14,,2026-08-04T12:44:38.987Z,2026-08-04T12:48:59.980Z
npm,@ornikar,rollup-plugin-postcss,2.0.15,,2026-08-04T12:45:11.747Z,2026-08-04T12:48:59.812Z
npm,@ornikar,rollup-plugin-postcss,2.0.12,,2026-08-04T12:44:00.200Z,2026-08-04T12:48:59.744Z
npm,@ornikar,monorepo-config,14.3.13,,2026-08-04T12:45:11.975Z,2026-08-04T12:48:59.735Z
npm,@ornikar,lerna-config,11.0.9,,2026-08-04T12:44:09.717Z,2026-08-04T12:48:59.705Z
npm,,babel-plugin-linaria-css-to-undefined,0.3.14,,2026-08-04T12:45:48.138Z,2026-08-04T12:48:59.420Z
npm,,frontend-orb,4.4.17,,2026-08-04T12:46:17.226Z,2026-08-04T12:48:59.161Z
npm,@ornikar,monorepo-config,14.3.11,,2026-08-04T12:44:09.852Z,2026-08-04T12:48:59.157Z
npm,@ornikar,lerna-config,11.0.10,,2026-08-04T12:44:38.960Z,2026-08-04T12:48:58.845Z
npm,,babel-plugin-linaria-css-to-undefined,0.3.16,,2026-08-04T12:46:16.915Z,2026-08-04T12:48:58.754Z
npm,@ornikar,lerna-config,11.0.8,,2026-08-04T12:44:00.236Z,2026-08-04T12:48:57.050Z
npm,@ornikar,eslint-config-node,12.2.9,,2026-08-04T12:44:38.916Z,2026-08-04T12:48:56.248Z
npm,,rwc-client,0.29.19,,2026-08-04T12:33:11.645Z,2026-08-04T12:38:16.884Z
npm,,conv-context-next,1.0.10,,2026-08-04T12:33:08.394Z,2026-08-04T12:38:07.591Z
npm,,example-js-project,1.0.11,,2026-08-04T12:33:08.469Z,2026-08-04T12:37:57.298Z
npm,@thiennq,docs-viewer,1.6.3,,2026-08-04T12:11:05.959Z,2026-08-04T12:15:57.925Z
npm,@thiennq,docs-viewer,1.6.4,,2026-08-04T12:11:19.909Z,2026-08-04T12:15:45.579Z
npm,@servicetitan,design-system,14.5.10,,2026-08-04T12:04:06.969Z,2026-08-04T12:10:38.073Z
npm,@servicetitan,dte-pdf-editor,1.76.7,,2026-08-04T12:04:06.352Z,2026-08-04T12:10:29.681Z
npm,@servicetitan,widget-platform-monolith,5.6.7,,2026-08-04T12:04:07.455Z,2026-08-04T12:10:28.650Z
npm,@servicetitan,assist-ui,2.1.7,,2026-08-04T12:04:06.589Z,2026-08-04T12:10:27.955Z
npm,@servicetitan,anvil-react,0.11.9,,2026-08-04T12:04:06.204Z,2026-08-04T12:10:26.368Z
npm,@servicetitan,standalone-feature-flags,2.3.8,,2026-08-04T12:04:06.227Z,2026-08-04T12:10:25.640Z
npm,@servicetitan,cp-api,1.115.7,,2026-08-04T12:04:06.309Z,2026-08-04T12:10:24.250Z
npm,@servicetitan,carto-charts-react,0.0.8,,2026-08-04T12:04:06.340Z,2026-08-04T12:10:23.814Z
npm,@servicetitan,microfront-tests,0.0.17,,2026-08-04T12:04:06.288Z,2026-08-04T12:10:22.459Z
npm,@servicetitan,marketing-integration-widgets,1.0.46,,2026-08-04T12:04:06.141Z,2026-08-04T12:10:21.224Z
npm,@servicetitan,line-item-editor,1.5.7,,2026-08-04T12:04:06.569Z,2026-08-04T12:10:18.919Z
npm,@servicetitan,titan-chatbot-api,9.0.7,,2026-08-04T12:04:07.133Z,2026-08-04T12:10:18.232Z
npm,@servicetitan,contentful-proxy,1.1.18,,2026-08-04T12:04:06.050Z,2026-08-04T12:10:18.214Z
npm,@servicetitan,microfront-auth,0.0.11,,2026-08-04T12:04:06.011Z,2026-08-04T12:10:16.505Z
npm,@servicetitan,docs-uikit,38.1.7,,2026-08-04T12:04:06.349Z,2026-08-04T12:10:16.416Z
npm,@servicetitan,component-usage,28.5.7,,2026-08-04T12:04:07.818Z,2026-08-04T12:10:16.296Z
npm,@servicetitan,responsive,6.1.7,,2026-08-04T12:04:06.590Z,2026-08-04T12:10:16.114Z
npm,@servicetitan,json-render-react,0.4.12,,2026-08-04T12:04:06.651Z,2026-08-04T12:10:15.742Z
npm,@servicetitan,html-sketchapp,4.2.14,,2026-08-04T12:04:06.403Z,2026-08-04T12:10:15.546Z
npm,@servicetitan,carto-tokens,0.3.7,,2026-08-04T12:04:06.038Z,2026-08-04T12:10:14.140Z
npm,@servicetitan,modularpayments-webfields,1.0.59,,2026-08-04T12:04:06.191Z,2026-08-04T12:10:13.955Z
npm,@servicetitan,install,38.1.7,,2026-08-04T12:04:06.482Z,2026-08-04T12:10:13.582Z
npm,@servicetitan,react-hooks,7.7.7,,2026-08-04T12:04:06.569Z,2026-08-04T12:10:13.506Z
npm,@servicetitan,hammer-icon,1.2.7,,2026-08-04T12:04:06.292Z,2026-08-04T12:10:13.443Z
npm,@servicetitan,marketing-route,1.2.7,,2026-08-04T12:04:05.874Z,2026-08-04T12:10:13.428Z
npm,,editable-contracts,0.0.27,,2026-08-04T12:04:06.256Z,2026-08-04T12:10:13.400Z
npm,@servicetitan,marketing-email-components,20.2.9,,2026-08-04T12:04:07.721Z,2026-08-04T12:10:13.249Z
npm,@servicetitan,standalone-root,1.11.9,,2026-08-04T12:04:06.633Z,2026-08-04T12:10:13.044Z
npm,@servicetitan,standalone-ui,2.2.10,,2026-08-04T12:04:06.261Z,2026-08-04T12:10:12.535Z
